molecule_chembl_id,canonical_smiles,activity_comment
CHEMBL2058831,CC(C)[C@@H]1c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)c(Cl)c3)n2CCN1C(=O)CN,Non-toxic
CHEMBL2146883,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,Non-toxic
CHEMBL2153191,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,Non-toxic
CHEMBL2151060,O=[N+]([O-])c1cn(-c2ccccc2OC(F)(F)F)cn1,Non-toxic
CHEMBL2153241,O=[N+]([O-])c1cn(-c2ccc(Cl)c(Cl)c2)cn1,Non-toxic
CHEMBL2153243,O=[N+]([O-])c1cn(-c2ccc(F)c(Cl)c2)cn1,Non-toxic
CHEMBL2153117,O=[N+]([O-])c1cn(-c2ccc(OC(F)(F)F)cc2)cn1,Non-toxic
CHEMBL2152561,O=C(O)c1cccc(-c2cccc(CCS)c2C(=O)O)c1,Non-toxic
CHEMBL2170804,CS(=O)(=O)O.OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,Non-toxic
CHEMBL2170610,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,Non-toxic
CHEMBL2181208,Clc1ccc2c(Nc3ccc4c(c3)NCN(Cc3ccccc3)C4)ccnc2c1,Non-toxic
CHEMBL2181207,CCCN1CNc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Non-toxic
CHEMBL2181215,CCCN1COc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Non-toxic
CHEMBL2181214,CCN1COc2cc(Nc3ccnc4cc(Cl)ccc34)ccc2C1,Non-toxic
CHEMBL2178422,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,Non-toxic
CHEMBL2179510,Cc1noc(-c2ccc3c(c2)c2c(n3CCCSc3cc(F)cc(F)c3)CCCC2)n1,Non-toxic
CHEMBL2177609,CC(C)(C)c1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,Non-toxic
CHEMBL2206509,Cc1ccc2c(c1)CN(C)C[C@H]2c1ccc(F)cc1,Non-toxic
CHEMBL444116,O=C(O)c1cccc(NC(=O)c2cccc3c2C(=O)c2ccccc2-3)c1,Non-toxic
CHEMBL2204538,COCCOc1nc(-c2ccc(Cl)nc2)nc2c1CN(C(=O)c1ncn3ccccc13)CC2,Non-toxic
CHEMBL2203817,Cn1c(C#N)ccc1-c1ccc(N)cc1,Toxic
